id,calving.vonmises_calving.sigma_max,calving.rate_scaling.file,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,prescribed_retreat_file,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,calving.thickness_calving.threshold,climate,fractures,frontal_melt,hydrology,ocean.models,sliding_law,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent
MEDIAN-FREE,498979.4426003829,seasonal_calving_id_2_1900_2025.nc,0.00011236364389997008,ACCESS1-3_rcp85,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003002037333972149,1.3506880292829915,0.5774806485068058,1.451455234778716,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])",0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pseudo_plastic,2.608046,3.309718
MEDIAN-PRESCRIBED,498979.4426003829,seasonal_calving_id_2_1900_2025.nc,0.00011236364389997008,ACCESS1-3_rcp85,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003002037333972149,1.3506880292829915,0.5774806485068058,1.451455234778716,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])",0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pseudo_plastic,2.608046,3.309718
