id,prescribed_retreat_file,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value
MEDIAN-FREE,pism_g450m_frontretreat_calfin_1972_2019.nc,454314.57029852876,-0.0011457422088287927,ACCESS1-3_rcp85,8.003613462925502,3.262858961227281,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])"
MEDIAN-PRESCRIBED,pism_g450m_frontretreat_calfin_1972_2019.nc,454314.57029852876,-0.0011457422088287927,ACCESS1-3_rcp85,8.003613462925502,3.262858961227281,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])"
