id,calving.vonmises_calving.sigma_max,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,prescribed_retreat_file
MEDIAN-FREE,549859.8916483098,seasonal_calving_id_2_1900_2025.nc,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,ACCESS1-3_rcp85,0.0003000263838336965,1.3501455024078877,0.5748384086271106,1.4498260958906775,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])"
MEDIAN-PRESCRIBED,549859.8916483098,seasonal_calving_id_2_1900_2025.nc,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,ACCESS1-3_rcp85,0.0003000263838336965,1.3501455024078877,0.5748384086271106,1.4498260958906775,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])"
