id,prescribed_retreat_file,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,climate,hydrology,ocean,climate_file,salinity,fractures,frontal_melt,ocean.models,ocean_file,surface.pdd.refreeze,sliding_law
MEDIAN-FREE,pism_g450m_frontretreat_calfin_1972_2019.nc,454314.57029852876,-0.0011457422088287927,ACCESS1-3_rcp85,8.003613462925502,3.262858961227281,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])",given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
MEDIAN-PRESCRIBED,pism_g450m_frontretreat_calfin_1972_2019.nc,454314.57029852876,-0.0011457422088287927,ACCESS1-3_rcp85,8.003613462925502,3.262858961227281,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])",given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
