id,calving.vonmises_calving.sigma_max,calving.rate_scaling.file,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,prescribed_retreat_file
MEDIAN-FREE,498979.4426003829,seasonal_calving_id_2_1900_2025.nc,0.00011236364389997008,ACCESS1-3_rcp85,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003002037333972149,1.3506880292829915,0.5774806485068058,1.451455234778716,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])"
MEDIAN-PRESCRIBED,498979.4426003829,seasonal_calving_id_2_1900_2025.nc,0.00011236364389997008,ACCESS1-3_rcp85,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003002037333972149,1.3506880292829915,0.5774806485068058,1.451455234778716,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])"
