id,calving.vonmises_calving.sigma_max,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,prescribed_retreat_file,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,calving.thickness_calving.threshold,climate,fractures,frontal_melt,hydrology,ocean.models,sliding_law,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent
MEDIAN-FREE,549859.8916483098,seasonal_calving_id_2_1900_2025.nc,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,ACCESS1-3_rcp85,0.0003000263838336965,1.3501455024078877,0.5748384086271106,1.4498260958906775,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])",0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pseudo_plastic,2.608046,3.309718
MEDIAN-PRESCRIBED,549859.8916483098,seasonal_calving_id_2_1900_2025.nc,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,ACCESS1-3_rcp85,0.0003000263838336965,1.3501455024078877,0.5748384086271106,1.4498260958906775,"dict_values(['pism_g450m_frontretreat_calfin_1972_2019.nc', ''])",0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pseudo_plastic,2.608046,3.309718
